CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Lat,Lon
31460,Madera,California,O3,4th Max,1,0.088,0.09,0.096,0.093,0.078,0.076,0.081,0.077,0.091,0.085,0.078,0.08,0.078,0.079,0.088,0.08,0.081,0.081,0.072,0.075,0.081,0.083,36.9622745,-120.0594685
32900,Merced,California,NO2,Annual Mean,1,12.0,12.0,12.0,12.0,11.0,11.0,10.0,9.0,9.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,37.3029568,-120.4843269
32900,Merced,California,O3,4th Max,1,0.103,0.096,0.105,0.107,0.096,0.083,0.087,0.087,0.105,0.08,0.09,0.082,0.079,0.083,0.082,0.083,0.082,0.078,0.079,0.072,0.079,0.079,37.3029568,-120.4843269
32900,Merced,California,PM10,2nd Max,1,89.0,100.0,79.0,73.0,54.0,68.0,80.0,65.0,74.0,60.0,53.0,70.0,60.0,69.0,81.0,64.0,62.0,94.0,80.0,80.0,123.0,79.0,37.3029568,-120.4843269
32900,Merced,California,PM2.5,Weighted Annual Mean,1,16.7,14.5,18.7,15.7,15.2,14.1,14.8,15.2,14.4,13.6,11.2,10.4,9.5,13.5,11.2,12.6,11.2,12.6,14.2,9.6,15.1,11.1,37.3029568,-120.4843269
32900,Merced,California,PM2.5,98th Percentile,1,68.0,49.0,58.0,45.0,47.0,49.0,53.0,53.0,51.0,50.0,39.0,39.0,42.0,67.0,46.0,39.0,35.0,40.0,53.0,30.0,77.0,41.0,37.3029568,-120.4843269
33700,Modesto,California,NO2,Annual Mean,1,16.0,17.0,17.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,11.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,7.0,37.6390972,-120.9968782
33700,Modesto,California,NO2,98th Percentile,1,55.0,62.0,68.0,58.0,55.0,53.0,51.0,46.0,52.0,48.0,39.0,41.0,44.0,46.0,41.0,36.0,42.0,46.0,47.0,44.0,41.0,34.0,37.6390972,-120.9968782
33700,Modesto,California,O3,4th Max,2,0.089,0.093,0.095,0.088,0.084,0.084,0.091,0.076,0.098,0.083,0.08,0.081,0.085,0.078,0.081,0.084,0.083,0.084,0.081,0.079,0.079,0.08,37.6390972,-120.9968782
33700,Modesto,California,PM10,2nd Max,1,95.0,124.0,83.0,75.0,55.0,74.0,88.0,71.0,79.0,62.0,68.0,67.0,77.0,77.0,54.0,64.0,57.0,107.0,110.0,93.0,134.0,84.0,37.6390972,-120.9968782
33700,Modesto,California,PM2.5,Weighted Annual Mean,1,18.7,15.6,18.7,14.5,13.6,13.9,14.8,15.0,16.0,13.0,12.1,14.7,11.9,14.3,11.4,9.1,11.1,12.9,15.2,7.7,14.5,15.0,37.6390972,-120.9968782
33700,Modesto,California,PM2.5,98th Percentile,1,71.0,69.0,69.0,47.0,45.0,55.0,52.0,57.0,54.0,55.0,37.0,55.0,41.0,56.0,50.0,31.0,36.0,51.0,100.0,28.0,82.0,43.0,37.6390972,-120.9968782
34900,Napa,California,O3,4th Max,1,0.061,0.06,0.068,0.067,0.065,0.053,0.064,0.055,0.067,0.064,0.067,0.064,0.058,0.055,0.062,0.066,0.058,0.065,0.054,0.06,0.06,0.06,38.2971367,-122.2855293
37100,Oxnard-Thousand Oaks-Ventura,California,NO2,Annual Mean,2,17.0,15.0,13.0,13.0,12.0,13.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,37.420204,-122.131766
37100,Oxnard-Thousand Oaks-Ventura,California,NO2,98th Percentile,2,61.0,55.0,51.0,52.0,47.0,47.0,43.0,43.0,43.0,39.0,39.0,37.0,36.0,35.0,36.0,32.0,32.0,33.0,33.0,30.0,29.0,27.0,37.420204,-122.131766
37100,Oxnard-Thousand Oaks-Ventura,California,O3,4th Max,5,0.084,0.088,0.084,0.087,0.084,0.08,0.081,0.075,0.079,0.079,0.074,0.074,0.071,0.068,0.076,0.069,0.071,0.074,0.066,0.067,0.075,0.066,37.420204,-122.131766
37100,Oxnard-Thousand Oaks-Ventura,California,PM2.5,Weighted Annual Mean,4,13.6,13.8,13.0,12.2,11.3,10.4,9.8,10.7,10.2,10.2,8.6,8.5,9.3,8.7,9.3,8.5,8.7,8.8,8.9,6.8,7.6,7.5,37.420204,-122.131766
37100,Oxnard-Thousand Oaks-Ventura,California,PM2.5,98th Percentile,4,37.0,37.0,30.0,28.0,30.0,23.0,24.0,27.0,21.0,20.0,18.0,18.0,19.0,19.0,19.0,21.0,18.0,21.0,23.0,15.0,29.0,18.0,37.420204,-122.131766
39780,Red Bluff,California,O3,4th Max,2,0.081,0.079,0.087,0.082,0.076,0.079,0.08,0.077,0.084,0.078,0.077,0.072,0.076,0.072,0.072,0.07,0.079,0.074,0.079,0.066,0.068,0.076,40.1784279,-122.235923
39820,Redding,California,O3,4th Max,3,0.077,0.068,0.075,0.075,0.076,0.077,0.076,0.074,0.08,0.069,0.066,0.063,0.066,0.061,0.069,0.067,0.068,0.065,0.071,0.061,0.065,0.068,40.5863563,-122.391675
39820,Redding,California,PM10,2nd Max,2,42.5,46.5,51.0,41.5,43.0,34.5,47.5,36.5,113.0,33.0,26.0,31.5,36.0,33.5,33.5,31.5,32.0,59.0,114.5,28.5,97.5,100.0,40.5863563,-122.391675
39820,Redding,California,PM2.5,Weighted Annual Mean,1,9.2,9.2,10.5,7.5,7.2,7.3,8.7,5.6,14.7,5.8,4.6,5.4,5.9,5.9,5.2,7.5,5.2,7.8,15.9,6.7,10.2,11.8,40.5863563,-122.391675
