CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46700,Vallejo-Fairfield,California,PM2.5,98th Percentile,1,60,78,71,27,39,41,41,40,41,37,26,31,21,33,24,31,19,42,83,19,52,24
46700,Vallejo-Fairfield,California,SO2,99th Percentile,1,12,12,11,10,13,10,11,9,8,7,7,5,4,4,7,4,5,4,4,4,4,4
47300,Visalia-Porterville,California,NO2,Annual Mean,1,18,18,19,18,16,16,14,15,14,15,13,12,12,13,10,10,9,11,11,10,9,8
47300,Visalia-Porterville,California,NO2,98th Percentile,1,66,66,81,74,62,60,57,59,68,57,56,50,53,53,54,46,51,56,53,55,48,39
47300,Visalia-Porterville,California,O3,4th Max,2,0.102,0.102,0.105,0.103,0.094,0.101,0.098,0.093,0.109,0.095,0.095,0.088,0.092,0.082,0.084,0.088,0.085,0.088,0.09,0.08,0.09,0.094
47300,Visalia-Porterville,California,PM2.5,Weighted Annual Mean,1,23.9,22.5,23.2,18.2,17,18.8,18.8,20.4,19.8,16,13.6,16.1,14.8,18.9,17.9,16.1,14.7,16.3,17.3,12.9,19.6,20.7
47300,Visalia-Porterville,California,PM2.5,98th Percentile,1,103,96,70,47,54,65,50,60,62,54,36,51,54,63,75,46,41,75,63,46,83,69
49700,Yuba City,California,NO2,Annual Mean,1,13,14,15,14,12,12,12,12,12,9,8,8,10,10,8,7,7,7,7,6,6,5
49700,Yuba City,California,NO2,98th Percentile,1,62,62,62,62,52,51,53,47,54,47,45,44,46,52,44,39,40,42,41,40,38,34
49700,Yuba City,California,O3,4th Max,2,0.081,0.077,0.09,0.085,0.076,0.075,0.083,0.075,0.078,0.069,0.067,0.07,0.073,0.066,0.072,0.068,0.072,0.074,0.073,0.063,0.075,0.075
49700,Yuba City,California,PM2.5,Weighted Annual Mean,1,10.6,11.9,13.1,9.5,10,9.5,11.3,8.2,10.7,7.9,5.9,8,6.9,8.2,9.4,9.6,8.1,9.3,10.3,8.4,16.4,14.5
49700,Yuba City,California,PM2.5,98th Percentile,1,38,54,34,29,38,42,41,34,65,28,17,37,24,25,25,31,22,32,37,27,91,45
